bookID,title,authors,average_rating,  num_pages
277,Writing,Marguerite Duras,3.75,91
278,The War,Marguerite Duras/Barbara Bray,3.85,192
280,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,181
285,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,178
288,Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,464
289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,102
290,Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,3.98,216
291,The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92,132
292,Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08,100
295,Treasure Island,Robert Louis Stevenson,3.83,311
296,Treasure Island,Robert Louis Stevenson/Scott McKowen,3.83,213
297,Treasure Island,Robert Louis Stevenson,3.83,245
298,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,3.83,64
299,Treasure Island,Robert Louis Stevenson/Milo Winter,3.83,272
302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,232
313,100 Years of Lynchings,Ralph Ginzburg,4.61,270
324,Cien años de soledad,Gabriel García Márquez,4.07,448
330,On Beyond Zebra!,Dr. Seuss,4.04,64
332,The Wedding Clause,Debbie Raleigh,3.60,256
333,The Zebra Wall,Kevin Henkes,3.44,147
337,El perfume: Historia de un asesino,Patrick Süskind,4.02,239
348,The Door Into Summer,Robert A. Heinlein,4.01,304
350,Stranger in a Strange Land,Robert A. Heinlein,3.92,528
354,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,434
355,Job: A Comedy of Justice,Robert A. Heinlein,3.78,439
356,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,256
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,307
359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,298
362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,368
367,Douglas Adams's Starship Titanic,Terry Jones,3.60,256
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,3.93,336
382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13,72
385,On Bullshit,Harry G. Frankfurt,3.57,67
386,Another Bullshit Night in Suck City,Nick Flynn,3.78,347
394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,317
397,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,32
399,Underworld,Don DeLillo,3.92,827
400,Libra,Don DeLillo,3.99,480
403,Americana,Don DeLillo,3.43,377
404,Running Dog,Don DeLillo,3.43,256
406,Cosmopolis,Don DeLillo,3.22,224
407,Great Jones Street,Don DeLillo,3.48,272
408,The Names,Don DeLillo,3.64,339
409,Against the Day,Thomas Pynchon,4.13,1085
410,V.,Thomas Pynchon,3.96,547
411,The Crying of Lot 49,Thomas Pynchon,3.69,152
412,Gravity's Rainbow,Thomas Pynchon,4.01,784
413,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07,773
414,Vineland,Thomas Pynchon,3.69,385
415,Gravity's Rainbow,Thomas Pynchon,4.01,776
416,Slow Learner: Early Stories,Thomas Pynchon,3.50,193
418,Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,3.80,352
420,The Year of Magical Thinking,Joan Didion,3.89,227
421,The White Album,Joan Didion,4.17,222
422,A Book of Common Prayer,Joan Didion,3.80,272
423,Where I Was From,Joan Didion,3.86,240
424,Slouching Towards Bethlehem,Joan Didion,4.21,238
425,Democracy,Joan Didion,3.81,234
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,4.50,1122
428,Play It As It Lays,Joan Didion/David Thomson,3.87,231
431,The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,3.89,308
432,City of Glass (The New York Trilogy  #1),Paul Auster,3.79,203
434,Ghosts (The New York Trilogy  #2),Paul Auster,3.64,96
435,The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,179
444,Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,3.89,256
446,The Brooklyn Follies,Paul Auster,3.84,306
